disclosure_id,title,summary,inventors,date
disc_2629a7e0dc,Invention disclosure — protein engineering,Describes novel assay for diagnostics.,"[""Inventor 548"", ""Inventor 359""]",2025-07-12
disc_bb443a779d,Invention disclosure — nanopore sequencing,Describes device prototype for manufacturing.,"[""Inventor 325""]",2020-01-07
disc_e7fe34b11c,Invention disclosure — bioreactor control,Describes device prototype for diagnostics.,"[""Inventor 159""]",2020-03-30
disc_6e1434a6b3,Invention disclosure — nanopore sequencing,Describes novel assay for diagnostics.,"[""Inventor 113"", ""Inventor 109"", ""Inventor 600""]",2025-07-11
disc_61d6b78f4c,Invention disclosure — microfluidics,Describes software pipeline for biofabrication.,"[""Inventor 297"", ""Inventor 63"", ""Inventor 509""]",2023-10-31
disc_7cf0507073,Invention disclosure — nanopore sequencing,Describes novel assay for drug discovery.,"[""Inventor 244"", ""Inventor 131""]",2024-06-03
disc_c62522df7b,Invention disclosure — battery chemistry,Describes device prototype for drug discovery.,"[""Inventor 339"", ""Inventor 243"", ""Inventor 80""]",2023-04-15
disc_382df99648,Invention disclosure — mRNA therapeutics,Describes novel assay for biofabrication.,"[""Inventor 206""]",2020-08-31
disc_523ec30d66,Invention disclosure — bioreactor control,Describes device prototype for drug discovery.,"[""Inventor 104""]",2019-06-19
disc_6594af0731,Invention disclosure — protein engineering,Describes software pipeline for diagnostics.,"[""Inventor 6"", ""Inventor 546"", ""Inventor 308""]",2023-09-29
disc_fd793fec73,Invention disclosure — wearable health sensors,Describes software pipeline for manufacturing.,"[""Inventor 527"", ""Inventor 297""]",2022-07-27
disc_2263d0bfdd,Invention disclosure — lab-on-a-chip,Describes novel assay for drug discovery.,"[""Inventor 99"", ""Inventor 188""]",2022-12-23
disc_c1c44d3768,Invention disclosure — battery chemistry,Describes novel assay for drug discovery.,"[""Inventor 484"", ""Inventor 149"", ""Inventor 269""]",2024-12-12
disc_a815dd4dd2,Invention disclosure — graphene membranes,Describes novel assay for drug discovery.,"[""Inventor 279"", ""Inventor 37""]",2021-02-14
disc_66c77c3498,Invention disclosure — graphene membranes,Describes novel assay for manufacturing.,"[""Inventor 453"", ""Inventor 52""]",2021-06-07
