entity_id,name,type,country
ent_2cc5e659ce,BioPlatform SA 466,university,FR
ent_565b73a65e,OmicsCore 793,startup,ES
ent_7477645b23,BioPlatform SA 638,company,UK
ent_9841caf72d,NanoTech EU 84,company,ES
ent_e6272447e7,GeneWorks 987,university,SE
ent_6bc3271342,MedDevicesLtd 6,lab,US
ent_1df80803dd,AgriCorp 95,consortium,UK
ent_2f17699f79,BioPlatform SA 286,university,IT
ent_0b485b6d85,MicroFab Labs 865,university,DE
ent_bd7d2c894d,MedDevicesLtd 672,lab,PT
ent_71556763ad,PharmaCo 184,university,US
ent_7b776e43b1,BioPlatform SA 547,lab,PT
ent_b971a29e64,BatterySolutions 410,startup,UK
ent_0beab56ada,MedDevicesLtd 907,lab,SE
ent_58af04e4bf,OmicsCore 286,startup,DE
ent_5b33670c53,BatterySolutions 226,company,NL
ent_8bc21087dc,GeneWorks 933,company,PT
ent_9f1d2f2093,BioPlatform SA 709,lab,NL
ent_8034f0ebdb,MedDevicesLtd 622,startup,PT
ent_128cef5425,PharmaCo 300,lab,PT
ent_24fd44b451,TheraWorks 307,consortium,FR
ent_2eef9afa7e,OmicsCore 956,company,NL
ent_e8a0070ec3,TheraWorks 743,startup,ES
ent_efc568c09c,BioPlatform SA 711,university,IT
ent_a8b3fed399,BioPlatform SA 339,startup,FI
ent_5ee467f673,OmicsCore 612,consortium,FI
ent_2e71de73dd,NanoTech EU 975,university,DE
ent_f1a1016799,MedDevicesLtd 670,lab,US
ent_579bdcd44b,AgriCorp 577,company,FI
ent_879fac4357,NanoTech EU 285,lab,FI
ent_9071c74b15,BioPlatform SA 908,startup,PT
ent_1504237cf9,PharmaCo 997,company,SE
ent_2e22e15ef3,GeneWorks 754,consortium,NL
ent_650b15fdbf,OmicsCore 349,university,PT
ent_80119a8491,NanoTech EU 11,startup,SE
ent_db730ecece,MicroFab Labs 588,company,FI
ent_95bda6a167,TheraWorks 299,university,SE
ent_bd68ca3e43,OmicsCore 402,lab,DE
ent_2065ad3197,AgriCorp 286,startup,IT
ent_9f9336d032,PharmaCo 775,university,ES
ent_f57a048923,NanoTech EU 115,company,UK
ent_832029a187,AgriCorp 25,startup,ES
ent_48d4460baf,MicroFab Labs 601,company,FR
ent_ca71114209,NanoTech EU 163,university,NL
ent_22ef992a24,AgriCorp 782,lab,US
ent_1bf2ea7c6c,BioPlatform SA 429,lab,UK
ent_a26f72b96b,MedDevicesLtd 875,company,PT
ent_764d807758,GeneWorks 49,consortium,US
ent_fac2096cbf,BatterySolutions 245,company,FI
ent_60518bd017,GeneWorks 883,startup,FR
ent_f12c7441bf,MedDevicesLtd 821,consortium,PT
ent_91e868020d,BioPlatform SA 248,consortium,UK
ent_de558afc03,AgriCorp 494,startup,FI
ent_387266307f,NanoTech EU 470,university,DE
ent_3d3a2ec8ec,OmicsCore 135,startup,DE
ent_066aaae66a,BatterySolutions 958,company,FR
ent_9848f09437,MicroFab Labs 258,university,US
ent_1ea443551d,OmicsCore 250,startup,US
ent_0a269c87d5,NanoTech EU 72,company,IT
ent_3c4f855849,BioPlatform SA 843,university,UK
ent_e77aec4469,OmicsCore 661,lab,FI
ent_fa2a12cc7b,PharmaCo 779,consortium,DE
ent_c197ab9209,MedDevicesLtd 505,consortium,US
ent_b9699c53ac,BatterySolutions 445,startup,NL
ent_62c81e6b16,OmicsCore 190,startup,SE
ent_a921cb8879,BioPlatform SA 107,lab,UK
ent_e8c784940e,PharmaCo 165,company,FR
ent_fc8b96aa6c,BioPlatform SA 969,university,FI
ent_d62fc1d685,AgriCorp 310,consortium,FR
ent_6484bad3e5,BatterySolutions 797,university,FR
ent_5c238a0296,PharmaCo 895,university,PT
ent_01d43f2bc9,BatterySolutions 916,lab,PT
ent_907f08bc9f,PharmaCo 402,university,US
ent_228fa4e3b9,BioPlatform SA 871,consortium,IT
ent_2116bcd7a4,TheraWorks 389,lab,PT
ent_8a2ee1f97f,GeneWorks 607,company,US
ent_094e90a93f,MicroFab Labs 288,startup,SE
ent_927a628da7,OmicsCore 364,startup,IT
ent_d1c2a1bb80,PharmaCo 797,startup,PT
ent_01b6bda31f,BioPlatform SA 25,university,US
ent_9c4ea0b0b7,MedDevicesLtd 486,university,DE
ent_b6b774a4e8,AgriCorp 497,startup,PT
ent_31b127af4b,NanoTech EU 616,lab,SE
ent_81f557763d,TheraWorks 148,university,US
ent_ba7fe1d284,MedDevicesLtd 832,company,FI
ent_4858b1d5a9,GeneWorks 367,lab,ES
ent_c6f431a50c,AgriCorp 161,company,IT
ent_d85d8893ce,PharmaCo 842,company,PT
ent_e213886cc5,NanoTech EU 646,consortium,NL
ent_032d59839a,NanoTech EU 826,lab,FI
ent_67989ffa6c,OmicsCore 793,consortium,FI
