paper_id,title,pub_date,journal,abstract
paper_5c38a3c6cf,A study of Mrna Therapeutics,2019-04-13,BioRxiv,Reports improvements in stability using closed-loop control.
paper_f38dfc5b34,On Mrna Therapeutics,2020-06-06,medRxiv,Reports improvements in efficacy using microfabrication.
paper_f9b3485623,Engineering Battery Chemistry,2017-08-12,medRxiv,Reports improvements in throughput using novel reagent.
paper_b620b94364,On Car-T Manufacturing,2019-08-16,medRxiv,Reports improvements in safety using closed-loop control.
paper_633cbf4121,Benchmarking Microfluidics,2013-09-10,Sci Reports,Reports improvements in throughput using closed-loop control.
paper_07e7982c62,Towards Wearable Health Sensors,2012-03-12,Sci Reports,Reports improvements in efficacy using closed-loop control.
paper_a22967f2ea,Towards Nanopore Sequencing,2022-09-10,Science Advances,Reports improvements in stability using ML optimisation.
paper_a04f47d483,A study of Single-Cell Multiomics,2015-11-02,J. Med. Chem.,Reports improvements in efficacy using microfabrication.
paper_0dd6b50b71,Engineering Lab-On-A-Chip,2012-09-17,Sci Reports,Reports improvements in yield using ML optimisation.
paper_0458832e77,Engineering Robotic Prosthetics,2014-06-06,Nature Communications,Reports improvements in stability using microfabrication.
paper_ea2ed4f4f8,Engineering Protein Engineering,2012-07-20,J. Med. Chem.,Reports improvements in stability using closed-loop control.
paper_dc844f8170,Benchmarking Nanopore Sequencing,2015-05-10,J. Med. Chem.,Reports improvements in throughput using closed-loop control.
paper_af78bc91a7,A study of Bioprinting,2015-01-06,J. Med. Chem.,Reports improvements in stability using novel reagent.
paper_3d434feecd,Benchmarking Wearable Health Sensors,2013-02-14,medRxiv,Reports improvements in yield using ML optimisation.
paper_3fac5dbd8e,Engineering Wearable Health Sensors,2020-07-26,Science Advances,Reports improvements in stability using closed-loop control.
paper_59cd5c51f9,Benchmarking Diagnostic Imaging,2015-09-23,Science Advances,Reports improvements in yield using ML optimisation.
paper_41d1e947c1,Towards Protein Engineering,2011-07-25,BioRxiv,Reports improvements in throughput using closed-loop control.
paper_fb86a75900,A study of Gene Editing (Crispr),2019-03-11,J. Med. Chem.,Reports improvements in yield using novel reagent.
paper_8030bb3512,Engineering Robotic Prosthetics,2017-10-04,J. Med. Chem.,Reports improvements in yield using closed-loop control.
paper_c8e3caced1,Engineering Battery Chemistry,2025-01-17,Sci Reports,Reports improvements in throughput using microfabrication.
paper_1f460417f1,On Biosensors,2018-07-29,Sci Reports,Reports improvements in safety using microfabrication.
paper_d48ebda5be,Towards Graphene Membranes,2023-04-03,IEEE TBME,Reports improvements in yield using ML optimisation.
paper_aec1ae3965,On Wearable Health Sensors,2011-10-09,Science Advances,Reports improvements in safety using closed-loop control.
paper_dd520c7586,On Nanopore Sequencing,2015-12-16,medRxiv,Reports improvements in yield using closed-loop control.
paper_5471b0069b,Towards Bioprinting,2011-06-28,IEEE TBME,Reports improvements in yield using closed-loop control.
paper_cc6a75b1e4,On Microfluidics,2023-11-05,Sci Reports,Reports improvements in yield using microfabrication.
paper_b1c35a8c83,Engineering Gene Editing (Crispr),2016-10-08,BioRxiv,Reports improvements in efficacy using novel reagent.
paper_50c19986c0,Benchmarking Robotic Prosthetics,2020-03-25,medRxiv,Reports improvements in throughput using microfabrication.
paper_6c910b3b1f,A study of Single-Cell Multiomics,2017-04-21,BioRxiv,Reports improvements in yield using ML optimisation.
paper_b1633d0786,Benchmarking Photovoltaic Perovskites,2010-08-18,Nature Communications,Reports improvements in yield using microfabrication.
paper_8083104c70,A study of Battery Chemistry,2023-03-26,medRxiv,Reports improvements in stability using novel reagent.
paper_c39105896c,Towards Diagnostic Imaging,2010-10-16,BioRxiv,Reports improvements in stability using ML optimisation.
paper_b252603ee8,On Microfluidics,2020-05-28,J. Med. Chem.,Reports improvements in stability using novel reagent.
paper_02d03e81cc,A study of Photovoltaic Perovskites,2015-02-03,Nature Communications,Reports improvements in yield using closed-loop control.
paper_ba45e9a8fa,Benchmarking Lab-On-A-Chip,2014-01-11,Sci Reports,Reports improvements in safety using ML optimisation.
paper_08d8c1176b,A study of Lab-On-A-Chip,2025-04-05,Science Advances,Reports improvements in efficacy using closed-loop control.
paper_6992abc782,Benchmarking Mrna Therapeutics,2023-08-18,Science Advances,Reports improvements in stability using closed-loop control.
paper_8fd153ea6c,Engineering Robotic Prosthetics,2025-01-23,medRxiv,Reports improvements in safety using microfabrication.
paper_efeeff4846,Engineering Robotic Prosthetics,2012-04-07,Science Advances,Reports improvements in safety using microfabrication.
paper_031e34b015,A study of Ai-Driven Medicinal Chemistry,2012-10-23,Sci Reports,Reports improvements in throughput using novel reagent.
paper_47cc449fa3,Towards Gene Editing (Crispr),2011-11-08,Sci Reports,Reports improvements in throughput using microfabrication.
paper_95487b9a0c,A study of Lab-On-A-Chip,2014-09-13,Science Advances,Reports improvements in efficacy using novel reagent.
paper_1988da4d39,Towards Protein Engineering,2016-09-23,IEEE TBME,Reports improvements in efficacy using novel reagent.
paper_7d098c02c9,Engineering Lab-On-A-Chip,2024-01-25,BioRxiv,Reports improvements in throughput using closed-loop control.
paper_76a4b0aa02,On Ai-Driven Medicinal Chemistry,2011-10-26,Science Advances,Reports improvements in throughput using microfabrication.
paper_473bb1bf1b,On Wearable Health Sensors,2019-05-24,IEEE TBME,Reports improvements in stability using ML optimisation.
paper_347cc57104,On Ultrafast Li-Ion Charging,2016-05-14,J. Med. Chem.,Reports improvements in yield using ML optimisation.
paper_47f1210cd2,Engineering Wearable Health Sensors,2024-04-01,Science Advances,Reports improvements in stability using ML optimisation.
paper_d73908c178,Engineering Robotic Prosthetics,2022-08-30,medRxiv,Reports improvements in safety using ML optimisation.
paper_51a269bdd7,Engineering Ultrafast Li-Ion Charging,2011-10-06,Sci Reports,Reports improvements in stability using ML optimisation.
paper_6e9503b1c2,Benchmarking Car-T Manufacturing,2014-01-11,Sci Reports,Reports improvements in efficacy using novel reagent.
paper_7ecefe633d,Towards Wearable Health Sensors,2018-11-25,Science Advances,Reports improvements in stability using novel reagent.
paper_25bcb39c5f,On Wearable Health Sensors,2023-02-15,Science Advances,Reports improvements in efficacy using closed-loop control.
paper_06a063191f,A study of Microfluidics,2022-05-31,J. Med. Chem.,Reports improvements in safety using microfabrication.
