trial_id,title,status,phase,start_date,url
ct_452e324589,Clinical trial for graphene membranes,Completed,Preclinical,2021-08-29,https://clinical.example/e8000e4e6aa9
ct_75a88d5d8c,Clinical trial for single-cell multiomics,Completed,Phase 3,2024-05-31,https://clinical.example/622b2da15d0a
ct_e152998655,Clinical trial for solid-state cooling,Completed,Phase 3,2016-06-27,https://clinical.example/9d2e9b56590e
ct_a056a258f5,Clinical trial for AI-driven medicinal chemistry,Recruiting,Phase 3,2019-08-02,https://clinical.example/daa54d980fe0
ct_fdc2697e49,Clinical trial for lab-on-a-chip,"Active, not recruiting",Phase 3,2022-09-01,https://clinical.example/dead35e289c4
ct_98465abceb,Clinical trial for ultrafast Li-ion charging,Terminated,Preclinical,2022-04-13,https://clinical.example/4037c0d577b3
ct_bf107e78d9,Clinical trial for nanopore sequencing,"Active, not recruiting",Preclinical,2019-12-12,https://clinical.example/bfaea8ed5ca3
ct_0b7ab220d7,Clinical trial for biosensors,Recruiting,Phase 3,2016-02-26,https://clinical.example/2347adc3f685
ct_f7755015f4,Clinical trial for nanopore sequencing,Terminated,Phase 3,2020-08-19,https://clinical.example/79caa1f192c4
ct_52cb75a930,Clinical trial for bioreactor control,"Active, not recruiting",Preclinical,2018-12-20,https://clinical.example/cd4e2450d075
ct_789ce9a5c3,Clinical trial for nanopore sequencing,Completed,Phase 1,2022-05-09,https://clinical.example/ab50a0b1584d
ct_c40b353c52,Clinical trial for nanopore sequencing,Recruiting,Phase 1,2016-04-25,https://clinical.example/b39cdae29f88
ct_e56bc95442,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2017-02-23,https://clinical.example/d13c86a7aaaf
ct_52dc662943,Clinical trial for diagnostic imaging,"Active, not recruiting",Phase 3,2024-05-22,https://clinical.example/a8b5cac8aefa
ct_c0209f5c68,Clinical trial for photovoltaic perovskites,"Active, not recruiting",Phase 3,2021-12-28,https://clinical.example/16bd35a11b74
ct_f53e4ca03e,Clinical trial for diagnostic imaging,Recruiting,Preclinical,2022-02-28,https://clinical.example/9c2c96ea894e
ct_d9633d02ae,Clinical trial for bioprinting,Recruiting,Phase 3,2024-06-06,https://clinical.example/eeaac35a641d
