patent_id,title,filing_date,assignee,abstract,claims
pat_39b469c277,Device for battery chemistry,2013-03-30,Univ. Tech Labs,Claims a composition improving stability using ML control.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: system integration ..."", ""Claim 7: method step ..."", ""Claim 8: system integration ..."", ""Claim 9: method step ..."", ""Claim 10: system integration ..."", ""Claim 11: method step ..."", ""Claim 12: control algorithm ...""]"
pat_ad6e130428,Device for solid-state cooling,2021-08-11,SpinOut Biotech,Claims a controller improving yield using ML control.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: composition ..."", ""Claim 4: method step ..."", ""Claim 5: composition ..."", ""Claim 6: method step ..."", ""Claim 7: method step ...""]"
pat_6b3c0bcad3,System for bioreactor control,2020-12-29,Independent Inventor,Claims a composition improving throughput using nanoporous films.,"[""Claim 1: method step ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: system integration ..."", ""Claim 5: method step ..."", ""Claim 6: composition ..."", ""Claim 7: method step ..."", ""Claim 8: composition ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ..."", ""Claim 11: method step ...""]"
pat_5b5fe42afe,Composition for bioprinting,2019-07-17,SpinOut Biotech,Claims a composition improving selectivity using optimized buffer.,"[""Claim 1: method step ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: control algorithm ..."", ""Claim 9: method step ..."", ""Claim 10: composition ..."", ""Claim 11: control algorithm ..."", ""Claim 12: system integration ...""]"
pat_73b33d237f,Device for biosensors,2025-05-08,DeepMaterials Inc,Claims a novel apparatus improving selectivity using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: system integration ..."", ""Claim 10: composition ..."", ""Claim 11: composition ..."", ""Claim 12: system integration ...""]"
pat_e94bde7b4d,Device for wearable health sensors,2024-01-19,OmicsCore SA,Claims a method improving yield using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: method step ..."", ""Claim 6: control algorithm ..."", ""Claim 7: composition ..."", ""Claim 8: method step ..."", ""Claim 9: method step ..."", ""Claim 10: system integration ..."", ""Claim 11: composition ...""]"
pat_de30965f62,Composition for wearable health sensors,2016-03-27,DeepMaterials Inc,Claims a novel apparatus improving yield using microchannels.,"[""Claim 1: system integration ..."", ""Claim 2: system integration ..."", ""Claim 3: control algorithm ..."", ""Claim 4: system integration ..."", ""Claim 5: control algorithm ..."", ""Claim 6: composition ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ..."", ""Claim 9: control algorithm ..."", ""Claim 10: control algorithm ..."", ""Claim 11: system integration ...""]"
pat_862570ad93,Method for AI-driven medicinal chemistry,2017-09-13,OmicsCore SA,Claims a novel apparatus improving throughput using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: method step ..."", ""Claim 4: control algorithm ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ..."", ""Claim 8: method step ..."", ""Claim 9: method step ..."", ""Claim 10: method step ...""]"
pat_18470adb43,Composition for photovoltaic perovskites,2019-04-02,MedDevice Corp,Claims a novel apparatus improving throughput using nanoporous films.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: system integration ..."", ""Claim 6: system integration ..."", ""Claim 7: system integration ..."", ""Claim 8: control algorithm ...""]"
pat_9dacf70d3b,Device for bioprinting,2022-02-03,MedDevice Corp,Claims a method improving selectivity using ML control.,"[""Claim 1: control algorithm ..."", ""Claim 2: method step ..."", ""Claim 3: system integration ..."", ""Claim 4: control algorithm ..."", ""Claim 5: system integration ..."", ""Claim 6: control algorithm ..."", ""Claim 7: control algorithm ..."", ""Claim 8: method step ..."", ""Claim 9: control algorithm ..."", ""Claim 10: control algorithm ..."", ""Claim 11: composition ..."", ""Claim 12: method step ...""]"
pat_9c0a64ea2c,System for robotic prosthetics,2019-12-26,OmicsCore SA,Claims a novel apparatus improving yield using microchannels.,"[""Claim 1: composition ..."", ""Claim 2: composition ..."", ""Claim 3: composition ..."", ""Claim 4: control algorithm ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: composition ..."", ""Claim 8: system integration ..."", ""Claim 9: composition ...""]"
pat_2523326571,System for single-cell multiomics,2017-01-19,Independent Inventor,Claims a method improving yield using ML control.,"[""Claim 1: control algorithm ..."", ""Claim 2: system integration ..."", ""Claim 3: system integration ..."", ""Claim 4: composition ..."", ""Claim 5: composition ..."", ""Claim 6: composition ..."", ""Claim 7: method step ..."", ""Claim 8: system integration ...""]"
pat_25b4749170,Method for graphene membranes,2013-03-09,Univ. Tech Labs,Claims a novel apparatus improving selectivity using optimized buffer.,"[""Claim 1: control algorithm ..."", ""Claim 2: control algorithm ..."", ""Claim 3: control algorithm ..."", ""Claim 4: composition ..."", ""Claim 5: composition ...""]"
